id,char,pinyin,pinyin_num,shengmu,yunmu,shengdiao,yinjie,source_index,other_pinyin,record_hint,coverage_tag,note
0319,范,fàn,fan4,f,an,4,fan,1010,,读 fàn,核心覆盖,
0320,方,fāng,fang1,f,ang,1,fang,163,,读 fāng,核心覆盖,
0321,房,fáng,fang2,f,ang,2,fang,1290,,读 fáng,核心覆盖,
0322,仿,fǎng,fang3,f,ang,3,fang,474,,读 fǎng,核心覆盖,
0323,放,fàng,fang4,f,ang,4,fang,1223,,读 fàng,核心覆盖,
0324,非,fēi,fei1,f,ei,1,fei,1064,,读 fēi,核心覆盖,
0325,肥,féi,fei2,f,ei,2,fei,1189,,读 féi,核心覆盖,
0326,诽（诽谤）,fěi,fei3,f,ei,3,fei,2114,,读 fěi,缺口替代,常用度较低，作组合覆盖用
0327,肺,fèi,fei4,f,ei,4,fei,1181,,读 fèi,核心覆盖,
0328,氛,fēn,fen1,f,en,1,fen,1124,,读 fēn,核心覆盖,易误读：读 fēn，不读 fèn
0329,焚,fén,fen2,f,en,2,fen,2568,,读 fén,缺口替代,常用度较低，作组合覆盖用
0330,粉,fěn,fen3,f,en,3,fen,2053,,读 fěn,核心覆盖,
0331,奋,fèn,fen4,f,en,4,fen,1051,,读 fèn,核心覆盖,
0332,风,fēng,feng1,f,eng,1,feng,154,,读 fēng,核心覆盖,
0333,逢,féng,feng2,f,eng,2,feng,2007,,读 féng,核心覆盖,
0334,讽,fěng,feng3,f,eng,3,feng,559,,读 fěng,核心覆盖,
0335,凤,fèng,feng4,f,eng,4,feng,159,,读 fèng,核心覆盖,
0336,佛,fó,fo2,f,o,2,fo,789,fú,读 fó，不读 fú,核心覆盖,
0337,否,fǒu,fou3,f,ou,3,fou,703,pǐ,读 fǒu，不读 pǐ,核心覆盖,
0338,夫,fū,fu1,f,u,1,fu,79,,读 fū,核心覆盖,
0339,福,fú,fu2,f,u,2,fu,3033,,读 fú,核心覆盖,
0340,府,fǔ,fu3,f,u,3,fu,1211,,读 fǔ,核心覆盖,
0341,腹,fù,fu4,f,u,4,fu,2972,,读 fù,核心覆盖,
0342,咖（咖喱）,gā,ga1,g,a,1,ga,402,gā，kā,读 gā，不读 kā,缺口替代,常用度较低，作组合覆盖用
0343,尬（尴尬）,gà,ga4,g,a,4,ga,705,,读 gà,缺口替代,常用度较低，作组合覆盖用
0344,该,gāi,gai1,g,ai,1,gai,1300,,读 gāi,核心覆盖,
0345,改,gǎi,gai3,g,ai,3,gai,908,,读 gǎi,核心覆盖,
0346,概,gài,gai4,g,ai,4,gai,2871,,读 gài,核心覆盖,
0347,甘,gān,gan1,g,an,1,gan,23,,读 gān,核心覆盖,
0348,感,gǎn,gan3,g,an,3,gan,2875,,读 gǎn,核心覆盖,
0349,干（树干）,gàn,gan4,g,an,4,gan,23,gān,读 gàn，不读 gān,核心覆盖,
0350,钢,gāng,gang1,g,ang,1,gang,1529,gàng,读 gāng，不读 gàng,核心覆盖,
0351,岗,gǎng,gang3,g,ang,3,gang,754,gāng,读 gǎng，不读 gāng,核心覆盖,
0352,杠,gàng,gang4,g,ang,4,gang,1529,,读 gàng,缺口替代,常用度较低，作组合覆盖用
0353,高,gāo,gao1,g,ao,1,gao,2021,,读 gāo,核心覆盖,
0354,稿,gǎo,gao3,g,ao,3,gao,3263,,读 gǎo,核心覆盖,
0355,告,gào,gao4,g,ao,4,gao,760,,读 gào,核心覆盖,
0356,歌,gē,ge1,g,e,1,ge,3084,,读 gē,核心覆盖,
0357,格,gé,ge2,g,e,2,ge,1845,,读 gé,核心覆盖,
0358,葛（葛根）,gě,ge3,g,e,3,ge,488,,读 gě,缺口替代,
0359,各,gè,ge4,g,e,4,ge,506,,读 gè,核心覆盖,
0360,给,gěi,gei3,g,ei,3,gei,1758,jǐ,读 gěi，不读 jǐ,核心覆盖,
0361,跟,gēn,gen1,g,en,1,gen,2920,,读 gēn,核心覆盖,
0362,耕,gēng,geng1,g,eng,1,geng,1766,,读 gēng,核心覆盖,
0363,耿（耿直）,gěng,geng3,g,eng,3,geng,1817,,读 gěng,缺口替代,常用度较低，作组合覆盖用
0364,更（更加）,gèng,geng4,g,eng,4,geng,693,gēng,读 gèng，不读 gēng,核心覆盖,
0365,公,gōng,gong1,g,ong,1,gong,148,,读 gōng,核心覆盖,
0366,巩（巩固）,gǒng,gong3,g,ong,3,gong,361,,读 gǒng,缺口替代,常用度较低，作组合覆盖用
0367,共,gòng,gong4,g,ong,4,gong,371,,读 gòng,核心覆盖,
0368,沟,gōu,gou1,g,ou,1,gou,868,,读 gōu,核心覆盖,
0369,狗,gǒu,gou3,g,ou,3,gou,1198,,读 gǒu,核心覆盖,
0370,购,gòu,gou4,g,ou,4,gou,1117,,读 gòu,核心覆盖,
0371,姑,gū,gu1,g,u,1,gu,1325,,读 gū,核心覆盖,
0372,古,gǔ,gu3,g,u,3,gu,208,,读 gǔ,核心覆盖,
0373,顾,gù,gu4,g,u,4,gu,1874,,读 gù,核心覆盖,
0374,瓜,guā,gua1,g,ua,1,gua,279,,读 guā,核心覆盖,
0375,寡（寡人）,guǎ,gua3,g,ua,3,gua,3173,,读 guǎ,缺口替代,常用度较低，作组合覆盖用
0376,挂,guà,gua4,g,ua,4,gua,1365,,读 guà,核心覆盖,
0377,乖,guāi,guai1,g,uai,1,guai,1128,,读 guāi,缺口替代,
0378,拐,guǎi,guai3,g,uai,3,guai,967,,读 guǎi,核心覆盖,
0379,怪,guài,guai4,g,uai,4,guai,1271,,读 guài,核心覆盖,
0380,关,guān,guan1,g,uan,1,guan,532,,读 guān,核心覆盖,
0381,管,guǎn,guan3,g,uan,3,guan,3123,,读 guǎn,核心覆盖,
0382,贯,guàn,guan4,g,uan,4,guan,1351,,读 guàn,核心覆盖,
0383,光,guāng,guang1,g,uang,1,guang,417,,读 guāng,核心覆盖,
0384,广,guǎng,guang3,g,uang,3,guang,53,,读 guǎng,核心覆盖,
0385,逛,guàng,guang4,g,uang,4,guang,2003,,读 guàng,缺口替代,
0386,规,guī,gui1,g,uei,1,gui,952,,读 guī,核心覆盖,
0387,鬼,guǐ,gui3,g,uei,3,gui,1573,,读 guǐ,核心覆盖,
0388,贵,guì,gui4,g,uei,4,gui,1495,,读 guì,核心覆盖,
0389,滚,gǔn,gun3,g,uen,3,gun,3015,,读 gǔn,核心覆盖,
0390,棍,gùn,gun4,g,uen,4,gun,2572,,读 gùn,核心覆盖,
0391,锅,guō,guo1,g,uo,1,guo,2662,,读 guō,核心覆盖,
0392,国,guó,guo2,g,uo,2,guo,1081,,读 guó,核心覆盖,
0393,果,guǒ,guo3,g,uo,3,guo,1079,,读 guǒ,核心覆盖,
0394,过,guò,guo4,g,uo,4,guo,379,guō,读 guò，不读 guō,核心覆盖,
0395,哈,hā,ha1,h,a,1,ha,1510,hǎ，hà,用户自主,核心覆盖,
0396,蛤（蛤蟆）,há,ha2,h,a,2,ha,2638,gé,读 há，不读 gé,缺口替代,常用度较低，作组合覆盖用
0397,还（还有）,hái,hai2,h,ai,2,hai,704,huán,读 hái，不读 huán,核心覆盖,
0398,海,hǎi,hai3,h,ai,3,hai,2074,,读 hǎi,核心覆盖,
0399,害,hài,hai4,h,ai,4,hai,2097,,读 hài,核心覆盖,
0400,憨,hān,han1,h,an,1,han,2585,,读 hān,缺口替代,常用度较低，作组合覆盖用
0401,含,hán,han2,h,an,2,han,800,,读 hán,核心覆盖,
0402,喊,hǎn,han3,h,an,3,han,2623,,读 hǎn,核心覆盖,
0403,汉,hàn,han4,h,an,4,han,311,,读 hàn,核心覆盖,
0404,夯（夯实）,hāng,hang1,h,ang,1,hang,219,,读 hāng,缺口替代,常用度较低，作组合覆盖用
0405,航,háng,hang2,h,ang,2,hang,1981,,读 háng,核心覆盖,
0406,毫,háo,hao2,h,ao,2,hao,2376,,读 háo,核心覆盖,
0407,好,hǎo,hao3,h,ao,3,hao,581,hào,读 hǎo，不读 hào,核心覆盖,
0408,号,hào,hao4,h,ao,4,hao,243,háo,读 hào，不读 háo,核心覆盖,
0409,喝,hē,he1,h,e,1,he,2639,hè,读 hē，不读 hè,核心覆盖,
0410,何,hé,he2,h,e,2,he,771,,读 hé,核心覆盖,
0411,贺,hè,he4,h,e,4,he,1744,,读 hè,核心覆盖,
0412,黑,hēi,hei1,h,ei,1,hei,2655,,读 hēi,核心覆盖,
0413,痕,hén,hen2,h,en,2,hen,2383,,读 hén,缺口替代,常用度较低，作组合覆盖用
0414,很,hěn,hen3,h,en,3,hen,1584,,读 hěn,核心覆盖,
0415,恨,hèn,hen4,h,en,4,hen,1692,,读 hèn,核心覆盖,
0416,哼,hēng,heng1,h,eng,1,heng,1913,,读 hēng，hng 为轻声不录,核心覆盖,
0417,恒,héng,heng2,h,eng,2,heng,1685,,读 héng,核心覆盖,
0418,横,hèng,heng4,h,eng,4,heng,3213,héng,读 hèng，不读 héng,核心覆盖,
0419,轰,hōng,hong1,h,ong,1,hong,1057,,读 hōng,核心覆盖,
0420,红,hóng,hong2,h,ong,2,hong,589,,读 hóng,核心覆盖,
0421,哄（哄骗）,hǒng,hong3,h,ong,3,hong,1483,hōng，hòng,读 hǒng，不读 hōng、hòng,核心覆盖,易误读
0422,哄（起哄）,hòng,hong4,h,ong,4,hong,1483,hōng，hǒng,读 hòng,缺口替代,常用度较低，作组合覆盖用
0423,猴,hóu,hou2,h,ou,2,hou,2643,,读 hóu,核心覆盖,
0424,吼,hǒu,hou3,h,ou,3,hou,749,,读 hǒu,缺口替代,常用度较低，作组合覆盖用
0425,后,hòu,hou4,h,ou,4,hou,482,,读 hòu,核心覆盖,
0426,呼,hū,hu1,h,u,1,hu,280,,读 hū,核心覆盖,
0427,湖,hú,hu2,h,u,2,hu,2751,,读 hú,核心覆盖,
0428,虎,hǔ,hu3,h,u,3,hu,1071,,读 hǔ,核心覆盖,
0429,护,hù,hu4,h,u,4,hu,649,,读 hù,核心覆盖,
0430,花,huā,hua1,h,ua,1,hua,665,,读 huā,核心覆盖,
0431,划,huá,hua2,h,ua,2,hua,407,huà,读 huá，不读 huà,核心覆盖,
0432,话,huà,hua4,h,ua,4,hua,1296,,读 huà,核心覆盖,
0433,怀,huái,huai2,h,uai,2,huai,873,,读 huái,核心覆盖,
0434,坏,huài,huai4,h,uai,4,huai,616,,读 huài,核心覆盖,
0435,欢,huān,huan1,h,uan,1,huan,587,,读 huān,核心覆盖,
0436,环,huán,huan2,h,uan,2,huan,945,,读 huán,核心覆盖,
0437,缓,huǎn,huan3,h,uan,3,huan,2818,,读 huǎn,核心覆盖,
0438,换,huàn,huan4,h,uan,4,huan,1806,,读 huàn,核心覆盖,
0439,荒,huāng,huang1,h,uang,1,huang,1412,,读 huāng,核心覆盖,
0440,黄,huáng,huang2,h,uang,2,huang,2201,,读 huáng,核心覆盖,
0441,谎,huǎng,huang3,h,uang,3,huang,2461,,读 huǎng,缺口替代,常用度较低，作组合覆盖用
0442,晃（摇晃）,huàng,huang4,h,uang,4,huang,1893,huǎng,读 huàng，不读 huǎng,核心覆盖,
0443,灰,huī,hui1,h,uei,1,hui,397,,读 huī,核心覆盖,
0444,回,huí,hui2,h,uei,2,hui,438,,读 huí,核心覆盖,
0445,悔,huǐ,hui3,h,uei,3,hui,2094,,读 huǐ,核心覆盖,
0446,汇,huì,hui4,h,uei,4,hui,309,,读 huì,核心覆盖,
0447,婚,hūn,hun1,h,uen,1,hun,2481,,读 hūn,核心覆盖,
0448,浑,hún,hun2,h,uen,2,hun,1681,,读 hún,核心覆盖,
0449,混（混沌）,hùn,hun4,h,uen,4,hun,2420,,读 hùn,核心覆盖,易误读为hun3
0450,活,huó,huo2,h,uo,2,huo,1672,,读 huó,核心覆盖,
0451,火,huǒ,huo3,h,uo,3,huo,164,,读 huǒ,核心覆盖,
0452,或,huò,huo4,h,uo,4,huo,1035,,读 huò,核心覆盖,
0453,机,jī,ji1,j,i,1,ji,377,,读 jī,核心覆盖,
0454,极,jí,ji2,j,i,2,ji,687,,读 jí,核心覆盖,
0455,己,jǐ,ji3,j,i,3,ji,60,,读 jǐ,核心覆盖,
0456,记,jì,ji4,j,i,4,ji,323,,读 jì,核心覆盖,
0457,加,jiā,jia1,j,ia,1,jia,335,,读 jiā,核心覆盖,
0458,颊（脸颊）,jiá,jia2,j,ia,2,jia,2597,,读 jiá,缺口替代,常用度较低，作组合覆盖用
0459,假（假如）,jiǎ,jia3,j,ia,3,jia,2337,jià,读 jiǎ，不读 jià,核心覆盖,
0460,架,jià,jia4,j,ia,4,jia,1743,,读 jià,核心覆盖,
0461,肩,jiān,jian1,j,ian,1,jian,1289,,读 jiān,核心覆盖,
0462,减,jiǎn,jian3,j,ian,3,jian,2375,,读 jiǎn,核心覆盖,
0463,贱,jiàn,jian4,j,ian,4,jian,1520,,读 jiàn,核心覆盖,
0464,江,jiāng,jiang1,j,iang,1,jiang,538,,读 jiāng,核心覆盖,
0465,讲,jiǎng,jiang3,j,iang,3,jiang,550,,读 jiǎng,核心覆盖,
0466,降（降低）,jiàng,jiang4,j,iang,4,jiang,1321,xiáng,读 jiàng，不读 xiáng,核心覆盖,
0467,交,jiāo,jiao1,j,iao,1,jiao,519,,读 jiāo,核心覆盖,
0468,嚼（嚼舌根）,jiáo,jiao2,j,iao,2,jiao,3479,jiào，jué,读 jiáo，不读 jiào、jué,核心覆盖,
0469,脚,jiǎo,jiao3,j,iao,3,jiao,2355,,读 jiǎo,核心覆盖,
0470,较,jiào,jiao4,j,iao,4,jiao,1876,,读 jiào,核心覆盖,易误读：读 jiào，不读 jiǎo
0471,街,jiē,jie1,j,ie,1,jie,2702,,读 jiē,核心覆盖,
0472,结,jié,jie2,j,ie,2,jie,1754,jiē,读 jié，不读 jiē,核心覆盖,
0473,解（解开）,jiě,jie3,j,ie,3,jie,2981,jiè，xiè,读 jiě，不读 jiè、xiè,核心覆盖,
0474,介,jiè,jie4,j,ie,4,jie,140,,读 jiè,核心覆盖,
0475,金,jīn,jin1,j,in,1,jin,1166,,读 jīn,核心覆盖,
0476,紧,jǐn,jin3,j,in,3,jin,1884,,读 jǐn,核心覆盖,
0477,进,jìn,jin4,j,in,4,jin,605,,读 jìn,核心覆盖,
0478,精,jīng,jing1,j,ing,1,jing,3153,,读 jīng,核心覆盖,
0479,警,jǐng,jing3,j,ing,3,jing,3453,,读 jǐng,核心覆盖,
0480,静,jìng,jing4,j,ing,4,jing,3049,,读 jìng,核心覆盖,
0481,窘（窘迫）,jiǒng,jiong3,j,iong,3,jiong,2787,,读 jiǒng,缺口替代,常用度较低，作组合覆盖用
0482,究,jiū,jiu1,j,iou,1,jiu,881,,读 jiū,核心覆盖,
0483,九,jiǔ,jiu3,j,iou,3,jiu,15,,读 jiǔ,核心覆盖,
0484,就,jiù,jiu4,j,iou,4,jiu,2728,,读 jiù,核心覆盖,
0485,居,jū,ju1,j,ü,1,ju,1308,,读 jū,核心覆盖,
0486,局,jú,ju2,j,ü,2,ju,907,,读 jú,核心覆盖,
0487,举,jǔ,ju3,j,ü,3,ju,1693,,读 jǔ,核心覆盖,
0488,具,jù,ju4,j,ü,4,ju,1077,,读 jù,核心覆盖,
0489,捐,juān,juan1,j,üan,1,juan,2302,,读 juān,核心覆盖,
0490,卷（卷起）,juǎn,juan3,j,üan,3,juan,1231,juàn,读 juǎn，不读 juàn,核心覆盖,
0491,圈（羊圈）,juàn,juan4,j,üan,4,juan,2150,,读 juàn,缺口替代,常用度较低，作组合覆盖用
0492,绝,jué,jue2,j,üe,2,jue,1762,,读 jué,核心覆盖,
0493,倔（倔强）,juè,jue4,j,üe,4,jue,1974,jué,读 juè，不读 jué,核心覆盖,
0494,军,jūn,1-Jun,j,ün,1,jun,552,,读 jūn,核心覆盖,
0495,俊,jùn,4-Jun,j,ün,4,jun,1578,,读 jùn,核心覆盖,
0496,咖（咖啡）,kā,ka1,k,a,1,ka,1104,gā,读 kā，不读 gā,核心覆盖,
0497,卡（卡片）,kǎ,ka3,k,a,3,ka,226,qiǎ,读 kǎ，不读 qiǎ,核心覆盖,
0498,开,kāi,kai1,k,ai,1,kai,76,,读 kāi,核心覆盖,
0499,慨（慷慨）,kǎi,kai3,k,ai,3,kai,2778,,读 kǎi,缺口替代,常用度较低，作组合覆盖用
0500,刊,kān,kan1,k,an,1,kan,191,,读 kān,核心覆盖,
0501,砍,kǎn,kan3,k,an,3,kan,1454,,读 kǎn,核心覆盖,
0502,看（看见）,kàn,kan4,k,an,4,kan,1539,kān,读 kàn，不读 kān,核心覆盖,
0503,康,kāng,kang1,k,ang,1,kang,2385,,读 kāng,核心覆盖,
0504,扛,káng,kang2,k,ang,2,kang,354,gāng,读 káng，不读 gāng,核心覆盖,
0505,抗（对抗）,kàng,kang4,k,ang,4,kang,646,,读 kàng,核心覆盖,
0506,考,kǎo,kao3,k,ao,3,kao,358,,读 kǎo,核心覆盖,
0507,靠,kào,kao4,k,ao,4,kao,3259,,读 kào,核心覆盖,
0508,科,kē,ke1,k,e,1,ke,1551,,读 kē,核心覆盖,
0509,咳,ké,ke2,k,e,2,ke,1513,hāi,读 ké，不读 hāi,核心覆盖,
0510,渴,kě,ke3,k,e,3,ke,2758,,读 kě,核心覆盖,
0511,客,kè,ke4,k,e,4,ke,1703,,读 kè,核心覆盖,
0512,肯,kěn,ken3,k,en,3,ken,1067,,读 kěn,核心覆盖,
0513,坑,kēng,keng1,k,eng,1,keng,645,,读 kēng,核心覆盖,
0514,空,kōng,kong1,k,ong,1,kong,1282,kòng,读 kōng，不读 kòng,核心覆盖,
0515,孔,kǒng,kong3,k,ong,3,kong,179,,读 kǒng,核心覆盖,
0516,控,kòng,kong4,k,ong,4,kong,2187,,读 kòng,核心覆盖,
0517,抠,kōu,kou1,k,ou,1,kou,617,,读 kōu,缺口替代,常用度较低，作组合覆盖用
0518,口,kǒu,kou3,k,ou,3,kou,38,,读 kǒu,核心覆盖,
0519,扣（扣押）,kòu,kou4,k,ou,4,kou,357,,读 kòu,核心覆盖,易误读
0520,枯,kū,ku1,k,u,1,ku,1427,,读 kū,核心覆盖,
0521,苦,kǔ,ku3,k,u,3,ku,999,,读 kǔ,核心覆盖,
0522,库,kù,ku4,k,u,4,ku,832,,读 kù,核心覆盖,
0523,夸,kuā,kua1,k,ua,1,kua,395,,读 kuā,核心覆盖,
0524,垮（压垮）,kuǎ,kua3,k,ua,3,kua,1371,,读 kuǎ,缺口替代,常用度较低，作组合覆盖用
0525,跨,kuà,kua4,k,ua,4,kua,2913,,读 kuà,核心覆盖,
0526,快,kuài,kuai4,k,uai,4,kuai,876,,读 kuài,核心覆盖,
0527,宽,kuān,kuan1,k,uan,1,kuan,2098,,读 kuān,核心覆盖,
0528,款,kuǎn,kuan3,k,uan,3,kuan,2508,,读 kuǎn,核心覆盖,
0529,筐,kuāng,kuang1,k,uang,1,kuang,2680,,读 kuāng,缺口替代,常用度较低，作组合覆盖用
0530,狂,kuáng,kuang2,k,uang,2,kuang,811,,读 kuáng,核心覆盖,
0531,框（条条框框）,kuàng,kuang4,k,uang,4,kuang,1833,,读 kuàng,核心覆盖,
0532,亏,kuī,kui1,k,uei,1,kui,25,,读 kuī,核心覆盖,
0533,葵（葵花）,kuí,kui2,k,uei,2,kui,2561,,读 kuí,核心覆盖,
0534,愧,kuì,kui4,k,uei,4,kui,2776,,读 kuì,核心覆盖,
0535,昆,kūn,kun1,k,uen,1,kun,1080,,读 kūn,核心覆盖,
0536,捆,kǔn,kun3,k,uen,3,kun,1796,,读 kǔn,缺口替代,常用度较低，作组合覆盖用
0537,困,kùn,kun4,k,uen,4,kun,734,,读 kùn,核心覆盖,
0538,扩,kuò,kuo4,k,uo,4,kuo,364,,读 kuò,核心覆盖,
0539,拉,lā,la1,l,a,1,la,981,lá,读 lā，不读 lá,核心覆盖,
0540,喇（喇叭）,lǎ,la3,l,a,3,la,2621,,读 lǎ,缺口替代,常用度较低，作组合覆盖用
0541,腊,là,la4,l,a,4,la,2712,,读 là,核心覆盖,
0542,来,lái,lai2,l,ai,2,lai,707,,读 lái,核心覆盖,
0543,赖,lài,lai4,l,ai,4,lai,2872,,读 lài,核心覆盖,
0544,蓝,lán,lan2,l,an,2,lan,2852,,读 lán,核心覆盖,
0545,懒,lǎn,lan3,l,an,3,lan,3380,,读 lǎn,核心覆盖,
0546,烂,làn,lan4,l,an,4,lan,1660,,读 làn,核心覆盖,
0547,狼,láng,lang2,l,ang,2,lang,2005,,读 láng,核心覆盖,
0548,朗,lǎng,lang3,l,ang,3,lang,2109,,读 lǎng,核心覆盖,
0549,浪,làng,lang4,l,ang,4,lang,2084,,读 làng,核心覆盖,
0550,捞,lāo,lao1,l,ao,1,lao,1781,,读 lāo,缺口替代,常用度较低，作组合覆盖用
0551,劳,láo,lao2,l,ao,2,lao,674,,读 láo,核心覆盖,
0552,老,lǎo,lao3,l,ao,3,lao,360,,读 lǎo,核心覆盖,
0553,烙（烙饼）,lào,lao4,l,ao,4,lao,2063,luò,读 lào，不读 luò,核心覆盖,易误读：读 lào，不读 luò
0554,乐（快乐）,lè,le4,l,e,4,le,287,yuè,读 lè，不读 yuè,核心覆盖,
0555,勒（勒紧）,lēi,lei1,l,ei,1,lei,2200,lè,读 lēi，不读 lè,核心覆盖,
0556,雷,léi,lei2,l,ei,2,lei,2884,,读 léi,核心覆盖,
0557,垒（堡垒）,lěi,lei3,l,ei,3,lei,3320,,读 lěi,缺口替代,易误读：读 lěi；常用度较低，作组合覆盖用
0558,类,lèi,lei4,l,ei,4,lei,1646,,读 lèi,核心覆盖,
0559,棱,léng,leng2,l,eng,2,leng,2563,lēng，líng,读 léng，不读 lēng、líng,核心覆盖,
0560,冷,lěng,leng3,l,eng,3,leng,838,,读 lěng,核心覆盖,
0561,愣,lèng,leng4,l,eng,4,leng,2774,,读 lèng,核心覆盖,
0562,离,lí,li2,l,i,2,li,2035,,读 lí,核心覆盖,
0563,里,lǐ,li3,l,i,3,li,721,,读 lǐ,核心覆盖,
0564,力,lì,li4,l,i,4,li,19,,读 lì,核心覆盖,
0565,俩,liǎ,lia3,l,ia,3,lia,1557,liǎng,读 liǎ，不读 liǎng,核心覆盖,
0566,联,lián,lian2,l,ian,2,lian,2544,,读 lián,核心覆盖,
0567,脸,liǎn,lian3,l,ian,3,lian,2359,,读 liǎn,核心覆盖,
0568,练,liàn,lian4,l,ian,4,lian,1337,,读 liàn,核心覆盖,
0569,良,liáng,liang2,l,iang,2,liang,884,,读 liáng,核心覆盖,
0570,两,liǎng,liang3,l,iang,3,liang,697,,读 liǎng,核心覆盖,
0571,谅,liàng,liang4,l,iang,4,liang,2125,,读 liàng,核心覆盖,
0572,聊,liáo,liao2,l,iao,2,liao,2196,,读 liáo,核心覆盖,
0573,了（了解）,liǎo,liao3,l,iao,3,liao,17,,读 liǎo，le 为轻声不录,核心覆盖,
0574,料,liào,liao4,l,iao,4,liao,2054,,读 liào,核心覆盖,
0575,列,liè,lie4,l,ie,4,lie,399,,读 liè,核心覆盖,
0576,拎,līn,lin1,l,in,1,lin,973,,读 līn,缺口替代,易误读：读 līn，不读 līng；常用度较低，作组合覆盖用
0577,邻,lín,lin2,l,in,2,lin,801,,读 lín,核心覆盖,
0578,凛（正义凛然）,lǐn,lin3,l,in,3,lin,3284,,读 lǐn,缺口替代,常用度较低，作组合覆盖用
0579,吝（吝啬）,lìn,lin4,l,in,4,lin,2413,,读 lìn,缺口替代,
0580,灵,líng,ling2,l,ing,2,ling,900,,读 líng,核心覆盖,
0581,领,lǐng,ling3,l,ing,3,ling,2354,,读 lǐng,核心覆盖,
0582,另,lìng,ling4,l,ing,4,ling,256,,读 lìng,核心覆盖,
0583,溜（溜走）,liū,liu1,l,iou,1,liu,3013,liù,读 liū，不读 liù,核心覆盖,
0584,留,liú,liu2,l,iou,2,liu,2009,,读 liú,核心覆盖,
0585,柳,liǔ,liu3,l,iou,3,liu,1434,,读 liǔ,核心覆盖,
0586,六,liù,liu4,l,iou,4,liu,160,,读 liù,核心覆盖,
0587,龙,lóng,long2,l,ong,2,long,221,,读 lóng,核心覆盖,
0588,垄,lǒng,long3,l,ong,3,long,1055,,读 lǒng,核心覆盖,
0589,搂（搂草打兔子）,lōu,lou1,l,ou,1,lou,2535,lǒu,读 lōu，不读 lǒu,缺口替代,
0590,楼,lóu,lou2,l,ou,2,lou,2870,,读 lóu,核心覆盖,
0591,篓(竹篓),lǒu,lou3,l,ou,3,lou,2535,,读 lǒu,缺口替代,
0592,漏,lòu,lou4,l,ou,4,lou,3168,,读 lòu,核心覆盖,
0593,撸（撸起袖子）,lū,lu1,l,u,1,lu,,,读lū,缺口替代,
0594,炉,lú,lu2,l,u,2,lu,1238,,读 lú,核心覆盖,
0595,鲁,lǔ,lu3,l,u,3,lu,2717,,读 lǔ,核心覆盖,
0596,路,lù,lu4,l,u,4,lu,2918,,读 lù,核心覆盖,
0597,峦（山峦）,luán,luan2,l,uan,2,luan,1615,,读 luán,缺口替代,常用度较低，作组合覆盖用
0598,卵,luǎn,luan3,l,uan,3,luan,818,,读 luǎn,缺口替代,常用度较低，作组合覆盖用
0599,乱,luàn,luan4,l,uan,4,luan,762,,读 luàn,核心覆盖,
0600,抡（抡起斧子）,lūn,lun1,l,uen,1,lun,635,,读 lūn,缺口替代,常用度较低，作组合覆盖用
0601,轮,lún,lun2,l,uen,2,lun,1061,,读 lún,核心覆盖,
0602,论,lùn,lun4,l,uen,4,lun,556,lún,读 lùn，不读 lún,核心覆盖,
0603,啰（啰嗦）,luō,luo1,l,uo,1,luo,2286,,读luō,核心覆盖,
0604,罗,luó,luo2,l,uo,2,luo,1108,,读 luó,核心覆盖,
0605,裸,luǒ,luo3,l,uo,3,luo,3032,,读 luǒ,核心覆盖,
0606,落,luò,luo4,l,uo,4,luo,2557,là，lào,读 luò，不读 là、lào,核心覆盖,
0607,驴,lǘ,lü2,l,ü,2,lü,941,,读 lǘ,核心覆盖,
0608,旅,lǚ,lü3,l,ü,3,lü,2046,,读 lǚ,核心覆盖,
0609,绿,lǜ,lü4,l,ü,4,lü,2498,lù,读 lǜ，不读 lù,核心覆盖,
0610,略,lüè,lüe4,l,üe,4,lüe,2277,,读 lüè,核心覆盖,
0611,妈,mā,ma1,m,a,1,ma,583,,读 mā,核心覆盖,
0612,麻,má,ma2,m,a,2,ma,2379,,读 má,核心覆盖,
0613,马,mǎ,ma3,m,a,3,ma,72,,读 mǎ,核心覆盖,
0614,骂,mà,ma4,m,a,4,ma,1505,,读 mà,核心覆盖,
0615,埋,mái,mai2,m,ai,2,mai,1794,mán,读 mái，不读 mán,核心覆盖,
0616,买,mǎi,mai3,m,ai,3,mai,588,,读 mǎi,核心覆盖,
0617,卖,mài,mai4,m,ai,4,mai,1042,,读 mài,核心覆盖,
0618,瞒,mán,man2,m,an,2,man,3232,,读 mán,核心覆盖,
0619,满,mǎn,man3,m,an,3,man,3005,,读 mǎn,核心覆盖,
0620,慢,màn,man4,m,an,4,man,3169,,读 màn,核心覆盖,
0621,忙,máng,mang2,m,ang,2,mang,543,,读 máng,核心覆盖,
0622,莽,mǎng,mang3,m,ang,3,mang,1821,,读 mǎng,缺口替代,常用度较低，作组合覆盖用
0623,猫,māo,mao1,m,ao,1,mao,2367,,读 māo,核心覆盖,
0624,毛,máo,mao2,m,ao,2,mao,123,,读 máo,核心覆盖,
0625,卯（榫卯）,mǎo,mao3,m,ao,3,mao,291,,读 mǎo,缺口替代,常用度较低，作组合覆盖用
0626,贸,mào,mao4,m,ao,4,mao,1607,,读 mào,核心覆盖,
0627,眉,méi,mei2,m,ei,2,mei,1729,,读 méi,核心覆盖,
0628,美,měi,mei3,m,ei,3,mei,1642,,读 měi,核心覆盖,
0629,妹,mèi,mei4,m,ei,4,mei,1324,,读 mèi,核心覆盖,
